Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Manchester,1,M2015-12384,28/10/2015,22:31,Male,White,FALSE,"6'2""",170,27,D,,,5 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,
New Canaan,1,15-13932,01/11/2015,22:47,Male,White,FALSE,"5'8""",165,43,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,
Meriden,1,15-00943,01/11/2015,16:12,Male,Black,FALSE,"6'0""",240,39,C,D,,1 - 5 second drive,"single hit, no effect",2,TRUE,FALSE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,TRUE,TRUE,,"vehicle pursuit, followed by foot pursuit",,,,,,,,refused commands,TRUE,,TRUE,,,,,,,,TRUE,,
Enfield,1,IR201509068,01/11/2015,01:52,Male,White,TRUE,"6'2""",300,34,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,extremely non-compliant,,TRUE,,,,,,,,,,,active resistance to removal from vehicle
Norwalk,1,14-49305,01/11/2015,21:56,Male,Black,FALSE,"5'10""",150,22,L,,,,,0,TRUE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,handgun,,,,,,TRUE,,TRUE,,,,TRUE,,
Redding,2,15-7383,03/11/2015,21:20,Male,White,FALSE,"6'2""",210,59,C,L ,,,8 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Waterbury,1,15-61305,04/11/2015,20:35,Male,Black,FALSE,"5'5""",140,39,L,,display only,,,0,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,,,,,,,,,suspicious vehicle parked in wooded area w/ motor running,,,,,,TRUE,,suspect fleeing,,,,,TRUE,,,,,,TRUE,,
Branford,1,15-24455,04/11/2015,14:59,Male,White,FALSE,"5'10""",175,37,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,burglary in process
North Haven,1,15-20337,05/11/2015,23:59,Female,White,FALSE,Unknown,Unknown,48,C,,,,1,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,,,,,TRUE,TRUE,,,,,,,TRUE,,TRUE,handgun pointed (later determined replica),,,,,TRUE,,,,,,replica handgun,TRUE,TRUE,
Town of Groton,1,15-3039-OF,05/11/2015,21:58,Male,White,FALSE,"6'4""",185,43,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,
Hartford ,1,2015-34537,05/11/2015,00:30,Male,White,TRUE,"5'8""",150,21,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,threw cell phone at officer
Berlin,1,2015-23034,05/11/2015,16:56,Male,Black,TRUE,"5'9""",180,18,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,interfering,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,
Meriden,1,15-009291,06/11/2015,16:45,Male,White,TRUE,"5'7""",160,48,D,,,"1 deployment, 5 sec",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Putnam,1,15-10255-AR,06/11/2015,20:23,Male,White,FALSE,"5'11""",155,34,D,,,2 - 1 m24s,,2,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,,,,,Indoors-Public Building,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Town of Groton,1,15-1027-OF,06/11/2015,23:33,Male,White,FALSE,"6'1""",180,29,D,,,3 seconds,,1,TRUE,FALSE,TRUE,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,,attempting to gain entry,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Manchester,1,M2015-12747,06/11/2015,23:19,Male,White,TRUE,"5'9""",140,26,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,
Bristol,1,1500052319,07/11/2015,19:56,Male,Black,FALSE,"5'11""",180,55,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,TRUE,,,,,erratic operation of a motor vehicle (road rage),,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,
Torrington,1,15-44352,07/11/2015,16:22,Male,White,FALSE,"5'11""",195,50,L,,appx 3 min,,,0,TRUE,TRUE,,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
New Haven,1,15-53894,07/11/2015,13:27,Male,Black,FALSE,"6'2""",205,28,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,
Norwalk,2,15-50045,07/11/2015,12:50,Male,White,FALSE,"6'0""",240,57,C,L ,,,6 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,"suicidal, armed with knife",,,TRUE,TRUE,,TRUE,knife,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,
Danbury,1,1500075108,08/11/2015,01:20,Male,Black,FALSE,"5'9""",190,46,C,D,,"1, 5 sec","1, 5 sec",2,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,TRUE,Other Residence,Marked Cruiser,,,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,
Suffield,1,15-122-AR,12/11/2015,02:03,Male,White,FALSE,"5'9""",200,35,C,,,,"1, 5 sec",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,knife,,,,,TRUE,TRUE,,,,,knife,,TRUE,
Ansonia,1,15-17162,12/11/2015,21:39,Male,Black,FALSE,"5'7""",160,22,C,,,,"2, 5 sec",2,FALSE,TRUE,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,TRUE,,,,,,,,,,,evading arrest,,,,,TRUE,,,,,,TRUE,,
Meriden,1,15-009453,13/11/2015,14:30,Male,White,FALSE,"5'10""",220,50,D,,,"1 deployment, 5 sec",,1,TRUE,FALSE,TRUE,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,,,,,,,DCF removing child from home,,TRUE,,,TRUE,TRUE,pitbull,,TRUE,,TRUE,TRUE,,,,,,,,,attempted to release pitbull on police and DCF
Danbury,1,1500076339,13/11/2015,16:30,Male,White,FALSE,"6'2""",305,31,L,,"1, appx 20 sec display",,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,Raid uniforms,,,,,,,TRUE,,,,,,,,,,search warrant execution,,,,,,,,,,,,,search warrant execution
Hartford ,1,2015-3546,13/11/2015,14:16,Male,White,TRUE,Unknown,Unknown,30,C,,,,"2, 5 sec.",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,
Norwich,1,15-3472-OF,13/11/2015,08:00,Male,White,FALSE,"5'9""",275,29,D,,,3 seconds,,1,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,TRUE,stated he would retaliate if touched (act of aggression in his view)
Torrington,1,15-45120,13/11/2015,19:18,Male,White,FALSE,"5'8""",175,27,C,,,,1 5-sec activation,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Not Initial Officer on Scene,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,
New Britain,1,15-25082,13/11/2015,19:06,Female,White,TRUE,"5'2""",100,18,D,,,1,,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE,,,,,TRUE,,,TRUE,,
Watertown,1,15-12180,14/11/2015,01:20,Male,White,FALSE,"6'2""",230,26,C,D,,"1 reported, approx 2 sec","1 reported, 5 sec",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,TRUE,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Norwich,1,15-3504-OF,16/11/2015,15:21,Male,White,FALSE,"5'11""",150,27,C,D,,"3, 5 seconds","1, 5 seconds",4,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,TRUE,arrow,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,
Bridgeport,1,151116-214,16/11/2015,16:15,Male,Black,FALSE,"6'0""",190,27,C,,,,missed,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,trespass/drug dealing,,TRUE,,,,,firearm,nervous,,,,,TRUE,,,,,,,,reaching into waist
CSP (State Police),1,1500673939,18/11/2015,23:12,Male,White,FALSE,"5'0""",170,47,C,,,,7 sec/8 sec,2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,,TRUE,pursuit,,,TRUE,,,,,,,,,,TRUE,,,,,,TRUE,,high speed pursuit --> construction zone
East Hartford,1,15-30783,18/11/2015,14:02,Male,Black,FALSE,"6'0""",230,34,C,,,,5 sec,1,TRUE,FALSE,TRUE,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE,pistol,,TRUE,,,TRUE,TRUE,,TRUE,,,,TRUE,,
Vernon,1,1500016943,20/11/2015,02:45,Male,White,TRUE,"5'7""",182,36,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,,,TRUE,,,,,TRUE,investigation of evading responsibility complaint,,TRUE,TRUE,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,
West Hartford,1,15-60235,20/11/2015,16:46,Male,White,TRUE,"5'6""",160,34,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,"suspect fleeing, loss prevention after larceny",,,,,,,,non-compliant with verbal commands,,TRUE,,,TRUE,,,,,,,,turned facing away from officer and shoved hands in pocket
East Hartford,1,15-30913,20/11/2015,10:14,Male,Black,FALSE,"5'8""",120,18,C,D,,10 sec,,1,TRUE,FALSE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,TRUE,Indoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,assaulted 2 police officers
Hartford ,1,2015-36410,22/11/2015,22:15,Male,Black,FALSE,"6'1""",300,34,C,,,,"1, 5 sec.",1,,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,Nude,,,TRUE,,,,,,,,TRUE,,
CSP (State Police),1,1500681765,23/11/2015,06:04,Male,Black,FALSE,Unknown,Unknown,43,C,,,,9 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,call from DMV Truck Squad,,,,TRUE,,,,"naked, standing in middle of highway",,,TRUE,,TRUE,,,,,,TRUE,,
Norwich,1,15-2904-AR,23/11/2015,22:14,Male,Black,FALSE,"5'10""",240,41,C,,,,"1, 7 seconds",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,TRUE,,
West Hartford,1,1500061077,24/11/2015,19:23,Male,White,TRUE,"5'0""",215,29,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,TRUE,,,,,reckless driving,,,,,,TRUE,,"refused to stop, attempted to flee",,,,,TRUE,,,,,,,,refused verbal commands and attempted to flee
Middletown,1,15-30166,24/11/2015,18:24,Male,White,FALSE,"6'1""",200,24,D,,,"2, 2 sec/1 sec",,2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,
East Hampton,1,15-9132,26/11/2015,23:54,Male,White,FALSE,"5'9""",215,40,C,,,,"2 @ 5 sec, 1 @ 10 sec",3,TRUE,TRUE,,TRUE,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,,,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,
North Haven,1,15-21552,26/11/2015,07:02,Male,Black,FALSE,"6'0""",175,31,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,TRUE,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,physically resisted officer's attempt to arrest (custodial)
Cheshire,1,2015-24498,26/11/2015,02:33,Male,White,FALSE,"5'4""",160,24,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,
Clinton,1,15-28256-AR,28/11/2015,11:18,Male,White,FALSE,"6'2""",165,29,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,
Vernon,1,15-17348,29/11/2015,23:23,Male,White,FALSE,"6'0""",200,50,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,TRUE,
Shelton,1,15-18058,01/12/2015,14:13,Male,White,FALSE,"5'8""",250,36,C,D,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,
Brookfield,1,15-676-OF,02/12/2015,18:37,Male,White,FALSE,Unknown,Unknown,Unknown,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,,,TRUE,,,,,,knife,,,,,,,,,TRUE,,,,,
Town of Groton,1,15-3392-OF,02/12/2015,14:51,Male,White,FALSE,Unknown,Unknown,26,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,knife,,,,,,,,TRUE,,,TRUE,TRUE,
East Hartford,1,15-31972,02/12/2015,17:58,Female,White,TRUE,"5'3""",140,21,C,,,,5 sec,1,TRUE,FALSE,TRUE,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Farmington,1,15-21593,02/12/2015,02:03,Male,White,FALSE,"6'2""",180,20,C,,,,1 4-sec activation,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Not Initial Officer on Scene,,,,,,TRUE,,,,attempted assault of officer,,,,TRUE,,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,
Norwich,1,15-3727-OF,03/12/2015,20:00,Male,Black,FALSE,"6'2""",240,53,D,,,"1, 5 seconds",,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,TRUE,,,TRUE,suicidal,,,TRUE,TRUE,TRUE,TRUE,knife,,TRUE,,TRUE,,,,,,,,,TRUE,violent thrashing/body checking
Orange,1,15-34541,03/12/2015,11:19,Female,White,FALSE,"5'1""",122,35,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
Hartford ,1,2015-37548,03/12/2015,22:06,Male,White,TRUE,"5'4""",155,35,C,,,,"2, 10 sec.",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,not initial officer on scene,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Norwalk,1,15-54163,04/12/2015,22:51,Male,White,FALSE,"6'0""",175,40,C,,,,2 @ 5 seconds,2,FALSE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,,,TRUE,subject was assaulting and restraining initial officer,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,
Bethel,1,15-13924,04/12/2015,15:39,Male,White,TRUE,"5'9""",Unknown,32,D,,,,,U,TRUE,TRUE,,TRUE,,TRUE,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
West Hartford,1,1500062579,05/12/2015,00:54,Male,White,TRUE,"5'11""",138,38,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,"2 suspects, only 1 officer on scene"
Waterford,1,2015-02538,05/12/2015,22:01,Male,White,FALSE,"6'2""",,22,W,,"1, 5 sec.",,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,,,,not listening to commands,,,,,TRUE,,,,,,,,not listening to commands
New Milford,1,15-58269-AR,06/12/2015,16:22,Male,White,FALSE,"5'9""",158,59,D,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Farmington,1,15-21838,06/12/2015,00:51,Male,White,FALSE,"5'10""",200,34,C,,,,3 5-second deployments,3,FALSE,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,TRUE,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,
Waterford,1,2015-02542,06/12/2015,21:09,Male,Black,FALSE,6',180,17,L,,1 min.,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,TRUE,,,,,,,,,,,"fleeing police, non-compliant",,,,,TRUE,,,,,,TRUE,,subject had knife in waistband
Stratford,1,15-32180,09/12/2015,15:35,Female,White,FALSE,"5'8""",110,56,C,,,,"1, 5 sec.",1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,"knife sharpening steel 14"" long",,,,,,,,,,,"knife sharpening steel 14"" long",TRUE,TRUE,
Meriden,1,15-10214,09/12/2015,15:00,Male,White,TRUE,"6'0""",245,34,D,,,1 5-second application,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Unmarked Vehicle,,TRUE,,,,,TRUE,,,narc sale investigation,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
University of Connecticut,1,1500054364,09/12/2015,23:08,Male,White,FALSE,"5'8""",270,21,U,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,attempted to restrict access to bedroom during search warrant
CSP (State Police),1,1500717147,11/12/2015,12:13,Male,White,FALSE,"5'10""",170,46,C,,,,15 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,agitated but calm,,,,,,TRUE,,,,,,,ran at officer and pushed him backwards
Hartford ,1,2015-38437,11/12/2015,20:07,Male,Black,FALSE,"5'8""",145,19,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,
East Hartford,1,15-32876,12/12/2015,20:46,Male,Black,FALSE,"6'0""",180,37,C,,,,5 sec,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,
Hartford ,1,2015-3853,12/12/2015,19:16,Male,Black,FALSE,"5'8""",240,34,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Derby,1,15-13449,13/12/2015,00:35,Male,White,FALSE,"5'9""",145,35,D,,,1,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,,,,TRUE,interfering with commands in booking,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,TRUE,,
Cheshire,1,2015-25870,14/12/2015,10:56,Female,White,FALSE,"5'6""",115,55,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,
Waterbury,1,2015-68501,15/12/2015,17:16,Male,White,FALSE,"6'0""",350,49,C,,,,5/2/5/4/2/2 sec,6,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
New London,1,15-004232,16/12/2015,17:57,Male,Asian,FALSE,"5'9""",180,31,C,,,,1/5 seconds,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,TRUE,,burglary investigation,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,
Clinton,1,15-29615-AR,16/12/2015,20:14,Male,White,FALSE,"5'11""",185,28,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,police pursuit,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,TRUE,,
